#pub topic_size bss+data stack
1 1 2456 1960
1 342 2456 1960
1 683 2768 2272
1 1025 3112 2616
1 1366 3456 2960
1 1707 3792 3296
1 2048 4136 3640
1 2390 4480 3984
1 2731 4816 4320
1 3072 5160 4664
5 1 2456 1976
5 342 2456 1976
5 683 2768 2288
5 1025 3112 2632
5 1366 3456 2976
5 1707 3792 3312
5 2048 4136 3656
5 2390 4480 4000
5 2731 4816 4336
5 3072 5160 4680
10 1 2456 1992
10 342 2456 1992
10 683 2768 2312
10 1025 3112 2656
10 1366 3456 2992
10 1707 3792 3336
10 2048 4136 3672
10 2390 4480 4016
10 2731 4816 4360
10 3072 5160 4696
20 1 2456 2032
20 342 2456 2032
20 683 2768 2352
20 1025 3112 2696
20 1366 3456 3032
20 1707 3792 3376
20 2048 4136 3712
20 2390 4480 4056
20 2731 4816 4400
20 3072 5160 4736
