#pub topic_size bss+data stack
1 1 2208 1892
1 342 2432 2116
1 683 2768 2452
1 1025 3112 2796
1 1366 3456 3140
1 1707 3792 3476
1 2048 4136 3820
1 2390 4480 4164
1 2731 4816 4500
1 3072 5160 4844
5 1 2208 1908
5 342 2432 2132
5 683 2768 2468
5 1025 3112 2812
5 1366 3456 3156
5 1707 3792 3492
5 2048 4136 3836
5 2390 4480 4180
5 2731 4816 4516
5 3072 5160 4860
10 1 2208 1924
10 342 2432 2148
10 683 2768 2492
10 1025 3112 2940
10 1366 3456 3172
10 1707 3792 3596
10 2048 4136 3852
10 2390 4480 4276
10 2731 4816 4540
10 3072 5160 4956
20 1 2208 1964
20 342 2432 2188
20 683 2768 2532
20 1025 3112 2876
20 1366 3456 3292
20 1707 3792 3556
20 2048 4136 3972
20 2390 4480 4236
20 2731 4816 4580
20 3072 5160 4916
